"Company","URL","Valuation ($B)","Date Joined","Country","City","Industry","Selected Investors"
"ByteDance","https://www.cbinsights.com/company/bytedance","$225","4/7/2017","China","Beijing","Media & Entertainment","Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group"
"SpaceX","https://www.cbinsights.com/company/space-exploration-technologies","$150","12/1/2012","United States","Hawthorne","Industrials","Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
"OpenAI","https://www.cbinsights.com/company/openai","$80","7/22/2019","United States","San Francisco","Enterprise Tech","Khosla Ventures"
"SHEIN","https://www.cbinsights.com/company/shein","$66","7/3/2018","Singapore","","Consumer & Retail","Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
"Stripe","https://www.cbinsights.com/company/stripe","$65","1/23/2014","United States","San Francisco","Financial Services","Khosla Ventures, LowercaseCapital, capitalG"
"Databricks","https://www.cbinsights.com/company/databricks","$43","2/5/2019","United States","San Francisco","Enterprise Tech","Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
"Canva","https://www.cbinsights.com/company/canva","$25.4","1/8/2018","Australia","Surry Hills","Enterprise Tech","Sequoia Capital China, Blackbird Ventures, Matrix Partners"
"Revolut","https://www.cbinsights.com/company/revolut","$33","4/26/2018","United Kingdom","London","Financial Services","Index Ventures, DST Global, Ribbit Capital"
"Epic Games","https://www.cbinsights.com/company/epic-games","$22.5","10/26/2018","United States","Cary","Media & Entertainment","Tencent Holdings, KKR, Smash Ventures"
"Fanatics","https://www.cbinsights.com/company/fanatics","$31","6/6/2012","United States","Jacksonville","Consumer & Retail","SoftBank Group, Andreessen Horowitz, Temasek Holdings"
"Chime","https://www.cbinsights.com/company/chimecard","$25","3/5/2019","United States","San Francisco","Financial Services","Forerunner Ventures, Crosslink Capital, Homebrew"
"Xiaohongshu","https://www.cbinsights.com/company/xiaohongshu","$20","3/31/2016","China","Shanghai","Media & Entertainment","GGV Capital, ZhenFund, Tencent"
"CoreWeave","https://www.cbinsights.com/company/coreweave","$19","4/20/2023","United States","Roseland","Enterprise Tech","Magnetar Capital"
"Miro","https://www.cbinsights.com/company/realtimeboard","$17.50","1/5/2022","United States","San Francisco","Enterprise Tech","Accel, AltaIR Capital, Technology Crossover Ventures"
"Anthropic","https://www.cbinsights.com/company/anthropic","$16.05","2/3/2023","United States","San Francisco","Enterprise Tech","Google"
"Yuanfudao","https://www.cbinsights.com/company/yuantikucom","$15.50","5/31/2017","China","Beijing","Consumer & Retail","Tencent Holdings, Warbug Pincus, IDG Capital"
"DJI Innovations","https://www.cbinsights.com/company/dji","$15","1/23/2015","China","Shenzhen","Industrials","Accel Partners, Sequoia Capital"
"Discord","https://www.cbinsights.com/company/hammer-chisel","$15","4/20/2018","United States","San Francisco","Media & Entertainment","Benchmark, Greylock Partners, Tencent Holdings"
"Gopuff","https://www.cbinsights.com/company/gopuff","$15","10/8/2020","United States","Philadelphia","Consumer & Retail","Accel, SoftBank Group, Anthos Capital"
"Yuanqi Senlin","https://www.cbinsights.com/company/yuanqi-senlin","$15","3/1/2020","China","Beijing","Consumer & Retail","Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
"Ripple","https://www.cbinsights.com/company/ripple-labs","$15","12/20/2019","United States","San Francisco","Financial Services","IDG Capital, Venture51, Lightspeed Venture Partners"
"Plaid","https://www.cbinsights.com/company/plaid-technologies","$13.50","12/11/2018","United States","San Francisco","Financial Services","New Enterprise Associates, Spar Capital, Index Ventures"
"Rippling","https://www.cbinsights.com/company/rippling","$13.5","8/4/2020","United States","San Francisco","Enterprise Tech","Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
"OpenSea","https://www.cbinsights.com/company/opensea","$13.30","7/20/2021","United States","New York","Media & Entertainment","Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
"Celonis","https://www.cbinsights.com/company/celonis1","$13","6/26/2018","Germany","Munich","Enterprise Tech","Accel, 83North"
"Scale","https://www.cbinsights.com/company/scale-ai","$13.8","8/5/2019","United States","San Francisco","Enterprise Tech","Accel, Y Combinator, Index Ventures"
"Grammarly","https://www.cbinsights.com/company/grammarly","$13","10/10/2019","United States","San Francisco","Media & Entertainment","General Catalyst, Institutional Venture Partners, Breyer Capital"
"Devoted Health","https://www.cbinsights.com/company/devoted-health","$12.90","10/16/2018","United States","Waltham","Healthcare & Life Sciences","Andreessen Horowitz, F-Prime Capital, Venrock"
"Faire","https://www.cbinsights.com/company/faire-1","$12.59","10/30/2019","United States","San Francisco","Consumer & Retail","Khosla Ventures, Forerunner Ventures, Sequoia Capital"
"Brex","https://www.cbinsights.com/company/brex","$12.30","10/5/2018","United States","San Francisco","Enterprise Tech","DST Global, Ribbit Capital, Greenoaks Capital Management"
"JUUL Labs","https://www.cbinsights.com/company/juul-labs","$12","12/20/2017","United States","San Francisco","Consumer & Retail","Tiger Global Management"
"Wiz","https://www.cbinsights.com/company/wiz","$12","3/17/2021","Israel","Tel Aviv","Enterprise Tech","Insight Partners, Sequoia Capital, Index Ventures"
"Bitmain Technologies","https://www.cbinsights.com/company/bitmain-technologies","$12","7/6/2018","China","Beijing","Enterprise Tech","Coatue Management, Sequoia Capital China, IDG Capital"
"GoodLeap","https://www.cbinsights.com/company/loanpal","$12","10/13/2021","United States","Roseville","Financial Services","New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
"Xingsheng Selected","https://www.cbinsights.com/company/xingsheng-youxuan","$12","7/22/2020","China","Changsha","Consumer & Retail","KKR, Tencent Holdings, Sequoia Capital China"
"Deel","https://www.cbinsights.com/company/deel","$12","4/21/2021","United States","San Francisco","Enterprise Tech","Andreessen Horowitz, Spark Capital, Y Combinator"
"Airtable","https://www.cbinsights.com/company/formagrid","$11.70","11/15/2018","United States","San Francisco","Enterprise Tech","Caffeinated Capital, CRV, Founder Collective"
"BYJU's","https://www.cbinsights.com/company/byjus","$11.50","7/25/2017","India","Bengaluru","Consumer & Retail","Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
"ZongMu Technology","https://www.cbinsights.com/company/zongmu-technology","$11.40","6/3/2021","China","Shanghai","Industrials","LTW Capital, Legend Capital, Qualcomm Ventures"
"Global Switch","https://www.cbinsights.com/company/global-switch","$11.10","12/22/2016","United Kingdom","London","Enterprise Tech","Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
"Checkout.com","https://www.cbinsights.com/company/checkoutcom","$11","5/2/2019","United Kingdom","London","Financial Services","Tiger Global Management, Insight Partners, DST Global"
"Bolt","https://www.cbinsights.com/company/boltcom","$11","10/8/2021","United States","San Francisco","Financial Services","Activant Capital, Tribe Capital, General Atlantic"
"Alchemy","https://www.cbinsights.com/company/alchemy-2","$10.20","10/28/2021","United States","San Francisco","Enterprise Tech","DFJ Growth Fund, Coatue Management, Addition"
"Huolala","https://www.cbinsights.com/company/easyvan-hong-kong-limited","$10","2/21/2019","China","Guangzhou","Industrials","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
"Gusto","https://www.cbinsights.com/company/zenpayroll","$10","12/18/2015","United States","San Francisco","Financial Services","General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
"Chehaoduo","https://www.cbinsights.com/company/guazi","$10","3/12/2016","China","Beijing","Consumer & Retail","Sequoia Capital China, GX Capital"
"Talkdesk","https://www.cbinsights.com/company/talkdesk","$10","10/3/2018","United States","San Francisco","Enterprise Tech","DJF, Salesforce Ventures, Storm Ventures"
"Notion","https://www.cbinsights.com/company/notion-labs","$10","4/1/2020","United States","San Francisco","Enterprise Tech","Index Ventures, Draft Ventures, Felicis Ventures"
"Digital Currency Group","https://www.cbinsights.com/company/digital-currency-group","$10","11/1/2021","United States","New York","Financial Services","Ribbit Capital, capitalG, Softbank Group"
"KuCoin","https://www.cbinsights.com/company/kucoin","$10","5/10/2022","Seychelles","Victoria","Financial Services","IDG Capital, Matrix Partners China, Jump Crypto"
"ServiceTitan","https://www.cbinsights.com/company/servicetitan","$9.50","11/14/2018","United States","Glendale","Industrials","Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
"HEYTEA","https://www.cbinsights.com/company/heytea","$9.28","7/1/2019","China","Shenzhen","Consumer & Retail","Sequoia Capital China, Tencent Investment, BA Capital"
"N26","https://www.cbinsights.com/company/number26","$9.23","1/10/2019","Germany","Berlin","Financial Services","Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
"Navan","https://www.cbinsights.com/company/tripactions","$9.20","11/8/2018","United States","Palo Alto","Enterprise Tech","Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
"VAST Data","https://www.cbinsights.com/company/vast-data","$9.1","4/16/2020","United States","New York","Enterprise Tech","Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
"Northvolt","https://www.cbinsights.com/company/northvolt","$9.08","6/12/2019","Sweden","Stockholm","Industrials","Vattenfall, Volkswagen Group, Goldman Sachs"
"Tanium","https://www.cbinsights.com/company/tanium","$9","3/31/2015","United States","Kirkland","Enterprise Tech","Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
"Niantic","https://www.cbinsights.com/company/niantic","$9","11/24/2017","United States","San Francisco","Media & Entertainment","Nintendo, Google, Pokemon Company International, Spark Capital"
"OYO Rooms","https://www.cbinsights.com/company/oravel-stays","$9","9/25/2018","India","Gurugram","Consumer & Retail","SoftBank Group, Sequoia Capital India, Lightspeed India Partners"
"Getir","https://www.cbinsights.com/company/getir","$8.80","3/26/2021","Turkey","Istanbul","Consumer & Retail","Tiger Global Management, Sequoia Capital, Revo Capital"
"Rapyd","https://www.cbinsights.com/company/rapyd","$8.75","12/3/2019","United Kingdom","London","Financial Services","Target Global, General Catalyst, Durable Capital Partners"
"Kavak","https://www.cbinsights.com/company/kavak","$8.70","10/1/2020","Mexico","Lerma de Villada","Industrials","DST Global, SoftBank Group, Mountain Nazca"
"Nuro","https://www.cbinsights.com/company/nuro-ai","$8.60","2/11/2019","United States","Mountain View","Industrials","SoftBank Group, Greylock Partners, Gaorong Capital"
"Chainalysis","https://www.cbinsights.com/company/chainalysis","$8.60","11/23/2020","United States","New York","Financial Services","Addition, Benhcmark, Accel"
"Pony.ai","https://www.cbinsights.com/company/ponyai","$8.60","7/11/2018","United States","Fremont","Industrials","Sequoia Capital China, IDG Capital, DCM Ventures"
"Personio","https://www.cbinsights.com/company/personio","$8.50","1/19/2021","Germany","Munich","Enterprise Tech","Global Founders Capital, Nortzone Ventures, Picus Capital"
"Anduril","https://www.cbinsights.com/company/anduril","$8.48","9/11/2019","United States","Irvine","Industrials","Andreessen Horowitz, Founders Fund, Revolution Ventures"
"SumUp","https://www.cbinsights.com/company/sumup","$8.50","7/16/2019","United Kingdom","London","Financial Services","American Express Ventures, Goldman Sachs, Bain Capital Credit"
"Bolt","https://www.cbinsights.com/company/taxify","$8.40","5/29/2018","Estonia","Tallinn","Industrials","Didi Chuxing, Diamler, TMT Investments"
"Lacework","https://www.cbinsights.com/company/lacework","$8.30","1/7/2021","United States","San Jose","Enterprise Tech","Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
"Tipalti","https://www.cbinsights.com/company/tipalti","$8.30","10/6/2020","United States","San Mateo","Enterprise Tech","01 Advisors, Zeev Ventures, Group 11"
"Tempus","https://www.cbinsights.com/company/tempus","$8.10","3/21/2018","United States","Chicago","Healthcare & Life Sciences","New Enterprise Associates, T. Rowe Associates, Lightbank"
"Swiggy","https://www.cbinsights.com/company/swiggy","$8","6/21/2018","India","Bengaluru","Consumer & Retail","Accel India, SAIF Partners, Norwest Venture Partners"
"Dream11","https://www.cbinsights.com/company/dream11","$8","4/9/2019","India","Mumbai","Media & Entertainment","Kaalari Capital, Tencent Holdings, Steadview Capital"
"Fireblocks","https://www.cbinsights.com/company/fireblocks","$8","7/27/2021","United States","New York","Financial Services","Tenaya Capital, Coatue Management, Stripes Group"
"Flexport","https://www.cbinsights.com/company/flexport","$8","4/30/2018","United States","San Francisco","Industrials","Bloomberg Beta, Founders Fund, First Round Capital"
"FalconX","https://www.cbinsights.com/company/falconx","$8","8/10/2021","United States","San Mateo","Financial Services","Tiger Global Management, American Express Ventures, B Capital Group"
"Caris","https://www.cbinsights.com/company/caris-diagnostics","$7.83","5/12/2021","United States","Irving","Healthcare & Life Sciences","Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
"Ramp","https://www.cbinsights.com/company/ramp-financial","$7.65","3/29/2021","United States","New York","Enterprise Tech","D1 Capital Partners, Stripe, Coatue Management"
"Dapper Labs","https://www.cbinsights.com/company/cryptokitties","$7.60","3/30/2021","Canada","Vancouver","Media & Entertainment","Union Square Ventures, Venrock, Andreessen Horowitz"
"Netskope","https://www.cbinsights.com/company/netskope","$7.50","11/13/2018","United States","Santa Clara","Enterprise Tech","Lightspeed Venture Partners, Social Capital, Accel"
"Razorpay","https://www.cbinsights.com/company/razorpay-software","$7.50","10/11/2020","India","Bengaluru","Financial Services","Sequoia Capital India, Tiger Global Management, Matrix Partners India"
"Automattic","https://www.cbinsights.com/company/automattic","$7.50","5/27/2013","United States","San Francisco","Media & Entertainment","Insight Venture Partners, Lowercase Capital, Polaris Partners"
"Carta","https://www.cbinsights.com/company/eshares","$7.40","5/6/2019","United States","San Francisco","Financial Services","Menlo Ventures, Spark Capital, Union Square Ventures"
"Snyk","https://www.cbinsights.com/company/snyk","$7.40","1/21/2020","United States","Boston","Enterprise Tech","BOLDstart Ventures, Google Ventures, Accel"
"Gong","https://www.cbinsights.com/company/gong","$7.25","8/12/2020","United States","Palo Alto","Enterprise Tech","Norwest Venture Partners, Next World Capital, Wing Venture Capital"
"Gemini","https://www.cbinsights.com/company/gemini-exchange","$7.10","11/19/2021","United States","New York","Financial Services","Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
"Blockchain.com","https://www.cbinsights.com/company/blockchain","$7","2/17/2021","United Kingdom","London","Financial Services","Lightspeed Venture Partners, Google Ventures, Lakestar"
"Toss","https://www.cbinsights.com/company/viva-republica-co-ltd","$7","12/9/2018","South Korea","Seoul","Financial Services","Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
"We Doctor","https://www.cbinsights.com/company/guahaohangzhoutechnology-co-ltd","$7","9/22/2015","China","Hangzhou","Healthcare & Life Sciences","Tencent, Morningside Group"
"Ro","https://www.cbinsights.com/company/roman-health-ventures","$7","7/27/2020","United States","New York","Healthcare & Life Sciences","Initialized Capital, General Catalyst, SignalFire"
"ConsenSys","https://www.cbinsights.com/company/consensys","$7","11/17/2021","United States","New York","Enterprise Tech","Third Point, Electric Capital, Coinbase Ventures"
"Automation Anywhere","https://www.cbinsights.com/company/automation-anywhere","$6.80","7/2/2018","United States","San Jose","Enterprise Tech","General Atlantic, Goldman Sachs, New Enterprise Associates"
"1Password","https://www.cbinsights.com/company/agilebits-inc","$6.80","7/8/2021","Canada","Toronto","Enterprise Tech","Slack Fund, Accel, Skip Capital"
"Klarna","https://www.cbinsights.com/company/klarna","$6.70","12/12/2011","Sweden","Stockholm","Financial Services","Institutional Venture Partners, Sequoia Capital, General Atlantic"
"Ziroom","https://www.cbinsights.com/company/ziroom","$6.60","1/17/2018","China","Beijing","Consumer & Retail","Sequoia Capital China, Warburg Pincus, General Catalyst"
"SVOLT","https://www.cbinsights.com/company/svolt","$6.51","6/8/2020","China","Changzhou","Industrials","IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
"National Stock Exchange of India","https://www.cbinsights.com/company/national-stock-exchange-of-india","$6.50","7/1/2020","India","Mumbai","Financial Services","TA Associates, SoftBank Group, GS Growth"
"Mollie","https://www.cbinsights.com/company/mollie","$6.50","9/8/2020","Netherlands","Amsterdam","Financial Services","Technology Crossover Ventures"
"Ola","https://www.cbinsights.com/company/ola-cabs","$7.50","10/27/2014","India","Bengaluru","Industrials","Accel Partners, SoftBank Group, Sequoia Capital"
"Doctolib","https://www.cbinsights.com/company/doctolib","$6.40","3/19/2019","France","Paris","Healthcare & Life Sciences","BPI France, Kerala Ventures, Accel"
"CRED","https://www.cbinsights.com/company/cred-3","$6.40","4/6/2021","India","Bengaluru","Financial Services","Tiger Global Management, DST Global, Sequoia Capital India"
"DataRobot","https://www.cbinsights.com/company/datarobot","$6.30","7/29/2019","United States","Boston","Enterprise Tech","New Enterprise Associates, Accomplice, IA Ventures"
"Upgrade","https://www.cbinsights.com/company/upgrade","$6.28","2/12/2018","United States","San Francisco","Financial Services","Union Square Ventures, Ribbit Capital, VY Capital"
"Hinge Health","https://www.cbinsights.com/company/hinge-health","$6.20","1/6/2021","United States","San Francisco","Healthcare & Life Sciences","Atomico, Insight Partners, Coatue Management"
"Black Unicorn Factory","https://www.cbinsights.com/company/black-unicorn-factory","$6.10","5/20/2021","United States","Los Angeles","Enterprise Tech","Barter Ventures"
"Benchling","https://www.cbinsights.com/company/benchling","$6.10","4/14/2021","United States","San Francisco","Healthcare & Life Sciences","Thrive Capital, Benchmark, MenloVentures"
"Applied Intuition","https://www.cbinsights.com/company/applied-intuition","$6","10/22/2020","United States","Sunnyvale","Industrials","Andreessen Horowitz, Lux Capital, General Catalyst"
"Commure","https://www.cbinsights.com/company/commure","$6","9/16/2021","United States","San Francisco","Healthcare & Life Sciences","General Catalyst, HCA Healthcare"
"Royole Corporation","https://www.cbinsights.com/company/royole-corporation","$6","8/18/2015","China","Shenzhen","Industrials","Warmsun Holding, IDG Capital Partners"
"iCapital Network","https://www.cbinsights.com/company/icapital-network","$6","7/27/2021","United States","New York","Financial Services","BlackRock, Blackstone, UBS"
"6Sense","https://www.cbinsights.com/company/6sense-insights","$5.20","3/30/2021","United States","San Francisco","Enterprise Tech","Venrock, Battery Ventures, Insight Partners"
"Attentive","https://www.cbinsights.com/company/attentive-mobile","$5.99","9/23/2020","United States","Hoboken","Enterprise Tech","NextView Ventures, Eniac Ventures, Sequoia Capital"
"Easyhome","https://www.cbinsights.com/company/easyhome","$5.78","2/12/2018","China","Beijing","Consumer & Retail","Alibaba Group, Boyu Capital, Borui Capital"
"Lianjia","https://www.cbinsights.com/company/beijing-homelink-real-estate-brokerage-co","$5.77","4/7/2016","China","Beijing","Financial Services","Tencent, Baidu, Huasheng Capital"
"Cityblock Health","https://www.cbinsights.com/company/cityblock-health","$5.70","12/10/2020","United States","Brooklyn","Healthcare & Life Sciences","Thrive Capital, Maverick Ventures, Redpoint Ventures"
"Workato","https://www.cbinsights.com/company/workato","$5.70","1/12/2021","United States","Mountain View","Enterprise Tech","Battery Ventures, Storm Ventures, Redpoint Ventures"
"Back Market","https://www.cbinsights.com/company/back-market","$5.70","5/18/2021","France","Paris","Consumer & Retail","Aglae Ventures, Eurazeo, Daphni"
"RELEX","https://www.cbinsights.com/company/relex-solutions","$5.70","2/17/2022","Finland","Helsinki","Consumer & Retail","Blackstone, Technology Crossover Ventures, Summit Partners"
"The Boring Company","https://www.cbinsights.com/company/the-boring-company","$5.70","4/20/2022","United States","Pflugerville","Industrials","VY Capital, 8VC, Craft Ventures"
"Postman","https://www.cbinsights.com/company/postman","$5.60","6/11/2020","United States","San Francisco","Enterprise Tech","Nexus Venture Partners, CRV, Insight Partners"
"FiveTran","https://www.cbinsights.com/company/fivetran","$5.60","6/30/2020","United States","Oakland","Enterprise Tech","Matrix Partners, Andreessen Horowitz, General Catalyst"
"ContentSquare","https://www.cbinsights.com/company/contentsquare","$5.60","5/25/2021","France","Paris","Enterprise Tech","Highland Europe, Eurazeo, Canaan Partners"
"Trade Republic","https://www.cbinsights.com/company/trade-republic-bank","$5.36","5/20/2021","Germany","Berlin","Financial Services","Founders Fund. Accel, Creandum"
"Rappi","https://www.cbinsights.com/company/rappi","$5.25","8/31/2018","Colombia","Bogota","Consumer & Retail","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
"Collibra","https://www.cbinsights.com/company/collibra","$5.25","1/29/2019","Belgium","Brussels","Enterprise Tech","Index Ventures, Battery Ventures, ICONIQ Capital"
"OneTrust","https://www.cbinsights.com/company/onetrust","$4.5","7/11/2019","United States","Atlanta","Enterprise Tech","Insight Partners"
"QuintoAndar","https://www.cbinsights.com/company/quintoandar","$5.10","9/9/2019","Brazil","Campinas","Financial Services","Kaszek Ventures, General Atlantic, SoftBank Group"
"Monzo","https://www.cbinsights.com/company/mondo","$5.2","10/31/2018","United Kingdom","London","Financial Services","Passion Capital, Thrive Capital, Orange Digital Ventures"
"C6 Bank","https://www.cbinsights.com/company/c6-bank","$5.05","12/2/2020","Brazil","Sao Paulo","Financial Services","Credit Suisse"
"Redwood Materials","https://www.cbinsights.com/company/redwood-materials","$5","7/28/2021","United States","Carson City","Industrials","Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
"Hello TransTech","https://www.cbinsights.com/company/hellobike","$5","6/1/2018","China","Shanghai","Industrials","Ant Financial Services Group, GGV Capital"
"Airwallex","https://www.cbinsights.com/company/airwallex","$5.50","3/25/2019","Australia","Melbourne","Financial Services","DST Global, Sequoia Capital China, Tencent Holdings"
"Mambu","https://www.cbinsights.com/company/mambu","$5.50","1/6/2021","Netherlands","Amsterdam","Financial Services","Runa Capital, Acton Capital Partners, Point Nine Capital"
"Horizon Robotics","https://www.cbinsights.com/company/horizon-robotics","$5","2/27/2019","China","Beijing","Industrials","Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
"Howden Group Holdings","https://www.cbinsights.com/company/hyperion-insurance-group","$5","9/29/2020","United Kingdom","London","Insurance","General Atlantic, 3i Group, Huagai Capital"
"SambaNova Systems","https://www.cbinsights.com/company/sambanova-systems","$5","4/13/2021","United States","Palo Alto","Enterprise Tech","Walden International, Google Ventures, Intel Capital"
"ZEPZ","https://www.cbinsights.com/company/worldremit","$5","8/23/2021","United Kingdom","London","Financial Services","Accel, Technology Crossover Ventures, LeapFrog Investments"
"OakNorth Bank","https://www.cbinsights.com/company/oaknorth-bank","$5","10/12/2017","United Kingdom","London","Financial Services","Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
"Moon Active","https://www.cbinsights.com/company/moon-active-1","$5","1/26/2020","Israel","Tel Aviv","Media & Entertainment","Insight Partners, Andalusian Capital Partners"
"OfBusiness","https://www.cbinsights.com/company/ofbusiness","$5","7/31/2021","India","Gurgaon","Industrials","Matrix Partners India, Falcon Edge Capital, SoftBank Group"
"Cockroach Labs","https://www.cbinsights.com/company/cockroach-labs","$5","1/12/2021","United States","New York","Enterprise Tech","Google Ventures, Benchmark, FirstMark Capital"
"Pine Labs","https://www.cbinsights.com/company/pine-labs","$5","1/24/2020","India","Noida","Financial Services","Sequoia Capital India, Temasek, PayPal Ventures"
"Qonto","https://www.cbinsights.com/company/qonto","$5","1/11/2022","France","Paris","Enterprise Tech","Alven Capital, Valar Ventures, Tencent Holdings"
"Ola Electric Mobility","https://www.cbinsights.com/company/ola-electric-mobility","$5.5","7/2/2019","India","Bengaluru","Industrials","SoftBank Group, Tiger Global Management, Matrix Partners India"
"Icertis","https://www.cbinsights.com/company/icertis","$5","7/17/2019","United States","Bellevue","Enterprise Tech","Eight Roads Ventures, Greycroft, Ignition Partners"
"Hopper","https://www.cbinsights.com/company/hopper","$5","3/24/2021","Canada","Montreal","Consumer & Retail","Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
"VerSe Innovation","https://www.cbinsights.com/company/eterno-infotech-pvt-ltd","$5","12/22/2020","India","Bengaluru","Media & Entertainment","Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
"ShareChat","https://www.cbinsights.com/company/sharechat","$5","4/8/2021","India","Bengaluru","Media & Entertainment","India Quotient, Elevation Capital, Lightspeed Venture Partners"
"Coalition","https://www.cbinsights.com/company/coalition","$5","3/17/2021","United States","San Francisco","Insurance","Two Sigma Ventures, Flint Capital, Commerce Ventures"
"Grafana Labs","https://www.cbinsights.com/company/grafana-labs","$4.93","3/25/2021","United States","New York","Enterprise Tech","Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
"Meesho","https://www.cbinsights.com/company/meesho","$3.5","4/5/2021","India","Bengaluru","Consumer & Retail","Venture Highway, Sequoia Capital India, Prosus Ventures"
"Cerebral","https://www.cbinsights.com/company/cerebral","$4.80","6/10/2021","United States","San Francisco","Healthcare & Life Sciences","Oak HC/FT Partners, Artis Ventures, WestCap Group"
"Creditas","https://www.cbinsights.com/company/bankfacil","$4.80","12/18/2020","Brazil","Sao Paulo","Financial Services","Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
"Reify Health","https://www.cbinsights.com/company/reify-health","$4.80","8/10/2021","United States","Boston","Healthcare & Life Sciences","Sierra Ventures, Battery Ventures, Asset Management Ventures"
"Chipone","https://www.cbinsights.com/company/chipone","$4.73","12/16/2021","China","Beijing","Industrials","China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
"BetterUp","https://www.cbinsights.com/company/betterup","$4.70","2/25/2021","United States","San Francisco","Enterprise Tech","Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
"Pleo","https://www.cbinsights.com/company/pleo","$4.70","7/6/2021","Denmark","Copenhagen","Enterprise Tech","Creandum, Founders, Kinnevik"
"SonarSource","https://www.cbinsights.com/company/sonarsource","$4.70","4/26/2022","Switzerland","Geneva","Enterprise Tech","Advent International,General Catalyst,Insight Partners"
"Lyra Health","https://www.cbinsights.com/company/lyra-health","$5.85","8/25/2020","United States","Burlingame","Healthcare & Life Sciences","Greylock Partners, Venrock, Providence Ventures"
"Checkr","https://www.cbinsights.com/company/checkr","$4.60","9/19/2019","United States","San Francisco","Enterprise Tech","Y Combinator, Accel, T. Rowe Price"
"Skims","https://www.cbinsights.com/company/skims","$4","4/9/2021","United States","Los Angeles","Consumer & Retail","Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
"Color","https://www.cbinsights.com/company/color-genomics","$4.60","1/4/2021","United States","Burlingame","Healthcare & Life Sciences","General Catalyst, Viking Global Investors, T. Rowe Price"
"Lendable","https://www.cbinsights.com/company/feather-media","$4.58","3/31/2021","United Kingdom","London","Financial Services","Ontario Teachers' Pension Plan, Goldman Sachs"
"Vinted","https://www.cbinsights.com/company/vinted","$4.53","11/27/2019","Lithuania","Vilnius","Consumer & Retail","Accel, Insight Partners, Burda Principal Investments"
"VIPKid","https://www.cbinsights.com/company/vipkid","$4.50","8/4/2016","China","Beijing","Consumer & Retail","Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
"Socure","https://www.cbinsights.com/company/socure","$4.50","3/16/2021","United States","New York","Financial Services","Two Sigma Ventures, Flint Capital, Commerce Ventures"
"wefox","https://www.cbinsights.com/company/financefox","$4.50","3/5/2019","Germany","Berlin","Insurance","Salesforce Ventures, Seedcamp, OMERS Ventures"
"Lenskart","https://www.cbinsights.com/company/valyoo-technologies","$4.50","12/20/2019","India","Faridabad","Consumer & Retail","Chiratae Ventures, PremjiInvest, Softbank"
"Hugging Face","https://www.cbinsights.com/company/hugging-face","$4.5","5/9/2022","United States","New York","Enterprise Tech","Betaworks Ventures, Addition, Lux Capital"
"Outreach","https://www.cbinsights.com/company/componentlab","$4.40","4/16/2019","United States","Seattle","Enterprise Tech","Mayfield Fund, M12, Trinity Ventures"
"WeRide","https://www.cbinsights.com/company/jingchi","$4.40","12/23/2020","China","Guangzhou","Industrials","Atop Capital, IDInvest Partners, Qiming Venture Partners"
"Guild Education","https://www.cbinsights.com/company/guild-education","$4.40","11/13/2019","United States","Denver","Enterprise Tech","General Atlantic, Blackstone, ICONIQ Growth"
"Arctic Wolf Networks","https://www.cbinsights.com/company/arctic-wolf-networks","$4.30","10/22/2020","United States","Eden Prairie","Enterprise Tech","Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
