"Company","URL","Valuation ($B)","Date Joined","Country","City","Industry","Selected Investors"
"Momenta","https://www.cbinsights.com/company/momenta","$1","10/17/2018","China","Beijing","Industrials","Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
"Hosjoy","https://www.cbinsights.com/company/hosjoy","$1","10/18/2018","China","Nanjing","Consumer & Retail","U.S.-China Green Fund, Founder H Fund, Richland Equities"
"Omio","https://www.cbinsights.com/company/goeuro","$1","10/23/2018","Germany","Berlin","Consumer & Retail","Lakestar, Battery Ventures, New Enterprise Associates"
"TERMINUS Technology","https://www.cbinsights.com/company/terminus-technologies","$1","10/25/2018","China","Beijing","Industrials","China Everbright Limited, IDG Capital, iFLYTEK"
"BitFury","https://www.cbinsights.com/company/bitfury-group","$1","11/6/2018","Netherlands","Amsterdam","Enterprise Tech","Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
"REEF Technology","https://www.cbinsights.com/company/parkjockey","$1","12/10/2018","United States","Miami","Industrials","Target Global, UBS Asset Management, Mubadala Capital"
"Globality","https://www.cbinsights.com/company/globality","$1","1/22/2019","United States","Menlo Park","Enterprise Tech","SoftBank Group"
"Ynsect","https://www.cbinsights.com/company/ynsect","$1","2/21/2019","France","Evry","Industrials","Astanor Ventures, Upfront Ventures, IDInvest Partners"
"Poizon","https://www.cbinsights.com/company/du","$1","4/29/2019","China","Shanghai","Consumer & Retail","DST Global, Sequoia Capital China, Gaorong Capital"
"SITECH DEV","https://www.cbinsights.com/company/sitech-dev","$1","5/16/2019","China","Guiyang","Industrials","China Prosperity Capital"
"KnowBox","https://www.cbinsights.com/company/knowbox","$1","5/30/2019","China","Beijing","Consumer & Retail","TAL Education Group, Legend Star, Alibaba Group"
"Yanolja","https://www.cbinsights.com/company/yanolja","$1","6/10/2019","South Korea","Seoul","Consumer & Retail","SBI Investment Korea, Partners Investment, GIC"
"Meero","https://www.cbinsights.com/company/meero","$1","6/18/2019","France","Paris","Media & Entertainment","Aglae Ventures, Global Founders Capital, Alven Capital"
"Ibotta","https://www.cbinsights.com/company/ibotta","$1","8/6/2019","United States","Denver","Consumer & Retail","Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
"C2FO","https://www.cbinsights.com/company/c2fo","$1","8/7/2019","United States","Leawood","Financial Services","Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management"
"Numbrs","https://www.cbinsights.com/company/numbrs","$1","8/22/2019","Switzerland","Zurich","Financial Services","Investment Corporation of Dubai, Centralway"
"EBANX","https://www.cbinsights.com/company/ebanx","$1","10/16/2019","Brazil","Curitiba","Financial Services","FTV Capital, Endeavor"
"KK Group","https://www.cbinsights.com/company/kkguancom","$3","10/23/2019","China","Dongguan","Consumer & Retail","Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
"Hotmart","https://www.cbinsights.com/company/hotmart","$1","3/17/2020","Netherlands","Amsterdam","Consumer & Retail","Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"
"Dubizzle Group","https://www.cbinsights.com/company/emerging-markets-property-group","$1","4/28/2020","United Arab Emirates","Dubai","Consumer & Retail","OLX Group, KCK Group, EXOR Seeds"
"Quizlet","https://www.cbinsights.com/company/quizlet","$1","5/13/2020","United States","San Francisco","Consumer & Retail","Union Square Ventures, Altos Ventures, Costanoa Ventures"
"Orca Bio","https://www.cbinsights.com/company/orca-bio","$1","6/17/2020","United States","Menlo Park","Healthcare & Life Sciences","Lightspeed Venture Partners, Data Collective, 8VC"
"Infobip","https://www.cbinsights.com/company/infobip","$1","7/30/2020","Croatia","Vodnjan","Enterprise Tech","One Equity Partners"
"Zwift","https://www.cbinsights.com/company/zwift","$1","9/16/2020","United States","Long Beach","Healthcare & Life Sciences","Novator Partners, True, Causeway Media Partners"
"Playco","https://www.cbinsights.com/company/playco","$1","9/21/2020","Japan","Tokyo","Media & Entertainment","Sozo Ventures, Caffeinated Capital, Sequoia Capital"
"Gousto","https://www.cbinsights.com/company/gousto","$1.70","11/3/2020","United Kingdom","London","Consumer & Retail","MMC Ventures, BGF Ventures, Unilever Ventures"
"Alation","https://www.cbinsights.com/company/alation","$1.70","6/3/2021","United States","Redwood City","Enterprise Tech","Costanoa Ventures, Data Collective, Salesforce Ventures"
"Boom Supersonic","https://www.cbinsights.com/company/boomaero","$1","12/16/2020","United States","Englewood","Industrials","WRVI Capital, Caffeinated Capital, Y Combinator"
"Quantum Metric","https://www.cbinsights.com/company/quantum-metric","$1","1/7/2021","United States","Colorado Springs","Enterprise Tech","Insight Partners, Bain Capital Ventures"
"News Break","https://www.cbinsights.com/company/particle-media","$1","1/7/2021","United States","Mountain View","Media & Entertainment","IDG Capital, Francisco Partners, ZhenFund"
"MadeiraMadeira","https://www.cbinsights.com/company/madeiramadeira","$1","1/7/2021","Brazil","Parana","Consumer & Retail","Flybridge Capital Partners, SoftBank Group, Monashees+"
"PPRO","https://www.cbinsights.com/company/ppro","$1","1/19/2021","United Kingdom","London","Financial Services","Wellington Management, Eurazeo, Citi Ventures"
"Splashtop","https://www.cbinsights.com/company/splashtop","$1","1/27/2021","United States","San Jose","Enterprise Tech","Storm Ventures, DFJ DragonFund, New Enterprise Associates"
"Flash Express","https://www.cbinsights.com/company/flash-express","$1","2/1/2021","Thailand","Bangkok","Industrials","SCB 10X, Krungsri Finnovate, eWTP Capital"
"Axiom Space","https://www.cbinsights.com/company/axiom-space","$1","2/16/2021","United States","Houston","Industrials","C5 Capital, Hemisphere Ventures, The Venture Collective"
"Locus Robotics","https://www.cbinsights.com/company/locus-robotics","$1","2/17/2021","United States","Wilmington","Industrials","Scale Venture Partners, Bond, Tiger Global Management"
"Standard AI","https://www.cbinsights.com/company/standard-cognition","$1","2/17/2021","United States","San Francisco","Consumer & Retail","CRV, Y Combinator, Initialized Capital"
